,VendorNumber,VendorName,Brand,Description,ActualPrice,PurchasePrice,SalesPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollar,TotalExciseTax,GrossProfit,ProfitMargin,StockTurnover,SalesPurchaseRatio,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
0,1128,BROWN-FORMAN CORP,1233,Jack Daniels No 7 Black,36.99,26.27,35.99,1750,145080,3811251.6,142049.0,5101919.51,260999.19999999998,1290667.9099999997,25.297692514949137,0.9791080783016267,1.3386467348416462,26.27,Large,79624.37
1,4425,MARTIGNETTI COMPANIES,3405,Tito's Handmade Vodka,28.99,23.19,29.99,1750,164038,3804041.22,160247.0,4819073.49,294438.66,1015032.27,21.062809523579187,0.9768895012131336,1.2668299871892554,23.19,Large,87913.29000000001
2,17035,PERNOD RICARD USA,8068,Absolut 80 Proof,24.99,18.24,24.99,1750,187407,3418303.68,187140.0,4538120.6,343854.07,1119816.9199999995,24.67578583081286,0.9985752933454993,1.3275943347432488,18.240000000000002,Large,4870.08
3,3960,DIAGEO NORTH AMERICA INC,4261,Capt Morgan Spiced Rum,22.99,16.17,21.99,1750,201682,3261197.94,200412.0,4475972.88,368242.8,1214774.94,27.139908408024134,0.9937029581221923,1.3724934709114895,16.169999999999998,Large,20535.9
4,3960,DIAGEO NORTH AMERICA INC,3545,Ketel One Vodka,29.99,21.89,31.99,1750,138109,3023206.01,135838.0,4223107.62,249587.83,1199901.6100000003,28.41276420040653,0.9835564662693959,1.3968970708681545,21.889999999999997,Large,49712.19
5,480,BACARDI USA INC,3858,Grey Goose Vodka,23.99,17.77,23.99,750,138809,2466635.93,141860.0,3383912.4,111699.19,917276.4699999997,27.106980369822804,1.0219798428055817,1.3718734730341822,17.77,Large,-54216.27
6,17035,PERNOD RICARD USA,2589,Jameson Irish Whiskey,39.99,30.76,39.99,1750,70783,2177285.08,69627.0,2773367.73,127931.67,596082.6499999999,21.493098212403297,0.9836683949535906,1.2737733590678901,30.76,Large,35558.560000000005
7,3960,DIAGEO NORTH AMERICA INC,3102,Smirnoff Traveler,17.99,12.94,17.99,1750,161386,2088334.84,148265.0,2592041.35,272422.6,503706.51,19.43281151745515,0.9186980283295949,1.2412000701956396,12.940000000000001,Large,169785.74
8,3960,DIAGEO NORTH AMERICA INC,3489,Tanqueray,27.99,20.73,27.99,1750,91835,1903739.55,90481.0,2640491.19,166244.44,736751.6399999999,27.902067720968233,0.9852561659498013,1.3870023291789046,20.73,Large,28068.420000000002
9,12546,JIM BEAM BRANDS COMPANY,1376,Jim Beam,21.99,16.29,21.99,1750,108866,1773427.14,107061.0,2435393.39,196707.35,661966.2500000002,27.18108099981335,0.9834199842007606,1.3732694933269152,16.29,Large,29403.449999999997
10,17035,PERNOD RICARD USA,2585,Jameson Irish Whiskey,22.99,16.42,22.99,750,93205,1530426.1,91247.0,2148965.53,71840.56999999999,618539.4299999997,28.78312478097309,0.9789925433184915,1.4041615795757794,16.42,Large,32150.360000000004
11,3960,DIAGEO NORTH AMERICA INC,2757,Johnnie Walker Red Label,29.99,22.38,29.99,1750,66942,1498161.96,61433.0,1840615.67,112875.19,342453.70999999996,18.605389250000247,0.917704878850348,1.2285825692704144,22.38,Large,123291.42
12,480,BACARDI USA INC,2663,Dewars White Label,29.99,21.42,29.99,1750,69001,1478001.42,70122.0,2189368.78,128839.08,711367.3599999999,32.49189293728761,1.0162461413602701,1.4813035700601693,21.419999999999998,Large,-24011.820000000003
