VendorNumber,VendorName,Brand,Description,ActualPrice,PurchasePrice,SalesPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollar,TotalExciseTax
1128,BROWN-FORMAN CORP,1233,Jack Daniels No 7 Black,36.99,26.27,35.99,1750.0,145080,3811251.6,142049.0,5101919.51,260999.19999999998
4425,MARTIGNETTI COMPANIES,3405,Tito's Handmade Vodka,28.99,23.19,29.99,1750.0,164038,3804041.22,160247.0,4819073.49,294438.66
17035,PERNOD RICARD USA,8068,Absolut 80 Proof,24.99,18.24,24.99,1750.0,187407,3418303.68,187140.0,4538120.6,343854.07
3960,DIAGEO NORTH AMERICA INC,4261,Capt Morgan Spiced Rum,22.99,16.17,21.99,1750.0,201682,3261197.94,200412.0,4475972.88,368242.8
3960,DIAGEO NORTH AMERICA INC,3545,Ketel One Vodka,29.99,21.89,31.99,1750.0,138109,3023206.01,135838.0,4223107.62,249587.83
480,BACARDI USA INC,3858,Grey Goose Vodka,23.99,17.77,23.99,750.0,138809,2466635.93,141860.0,3383912.4,111699.19
17035,PERNOD RICARD USA,2589,Jameson Irish Whiskey,39.99,30.76,39.99,1750.0,70783,2177285.08,69627.0,2773367.73,127931.67
3960,DIAGEO NORTH AMERICA INC,3102,Smirnoff Traveler,17.99,12.94,17.99,1750.0,161386,2088334.84,148265.0,2592041.35,272422.6
3960,DIAGEO NORTH AMERICA INC,3489,Tanqueray,27.99,20.73,27.99,1750.0,91835,1903739.55,90481.0,2640491.19,166244.44
12546,JIM BEAM BRANDS COMPANY,1376,Jim Beam,21.99,16.29,21.99,1750.0,108866,1773427.14,107061.0,2435393.39,196707.35
17035,PERNOD RICARD USA,2585,Jameson Irish Whiskey,22.99,16.42,22.99,750.0,93205,1530426.1,91247.0,2148965.53,71840.56999999999
3960,DIAGEO NORTH AMERICA INC,2757,Johnnie Walker Red Label,29.99,22.38,29.99,1750.0,66942,1498161.96,61433.0,1840615.67,112875.19
480,BACARDI USA INC,2663,Dewars White Label,29.99,21.42,29.99,1750.0,69001,1478001.42,70122.0,2189368.78,128839.08
10000,MAJESTIC FINE WINES,6570,Kendall Jackson Chard Vt RSV,10.99,6.77,9.95,750.0,215668,1460072.3599999999,214238.0,2326007.78,24083.77
9165,ULTRA BEVERAGE COMPANY LLP,3650,Patron Silver Tequila,48.99,33.81,48.99,750.0,42951,1452173.31,41639.0,2009508.61,32783.09
3960,DIAGEO NORTH AMERICA INC,2753,Johnnie Walker Black Label,59.99,44.77,69.99,1750.0,31596,1414552.92,28372.0,1739044.28,52133.72
17035,PERNOD RICARD USA,5364,Kahlua,29.99,23.07,29.99,1750.0,60645,1399080.15,59771.0,1844950.29,109817.06999999999
3960,DIAGEO NORTH AMERICA INC,8082,Baileys Irish Cream,33.99,21.73,29.99,1750.0,64249,1396130.77,65184.0,2068091.16,119767.49
3960,DIAGEO NORTH AMERICA INC,8680,Crown Royal,39.99,28.88,38.99,1750.0,47546,1373128.48,47966.0,1884307.34,88129.8
3960,DIAGEO NORTH AMERICA INC,4260,Capt Morgan Original Barrel,21.99,16.66,24.49,1750.0,79078,1317439.48,79042.0,1635666.58,145234.95
480,BACARDI USA INC,3348,Bombay Sapphire Gin,29.99,22.38,29.99,1750.0,57349,1283470.62,56888.0,1766391.1199999999,104524.54
480,BACARDI USA INC,3857,Grey Goose Vodka,49.99,38.27,48.99,1750.0,33388,1277758.76,32945.0,1699669.55,60533.43
8664,"STOLI GROUP,(USA) LLC",8112,Stolichnaya,24.99,19.52,24.99,1750.0,61936,1208990.72,61323.0,1528730.27,112669.45
480,BACARDI USA INC,126,Grey Goose Vodka,32.99,20.14,32.99,1000.0,59878,1205942.92,58013.0,1736610.87,60913.65
12546,JIM BEAM BRANDS COMPANY,3512,Pinnacle Vodka,16.99,11.76,15.99,1750.0,101480,1193404.8,98938.0,1624366.6199999999,181782.13
12546,JIM BEAM BRANDS COMPANY,2120,Canadian Club,16.99,12.21,15.99,1750.0,97473,1190145.33,94960.0,1554498.4,174471.93
7245,PROXIMO SPIRITS INC.,8159,Jose Cuervo Especial,25.99,19.69,25.99,1750.0,59088,1163442.72,58610.0,1549701.9,107685.03
480,BACARDI USA INC,4243,Bacardi Superior Rum,19.99,14.49,19.99,1750.0,76389,1106876.61,77041.0,1657809.59,141551.61
8112,MOET HENNESSY USA INC,6654,Veuve Clicquot Brut Yellow,39.99,27.2,44.99,750.0,40380,1098336.0,38506.0,1584665.41,4316.36
3960,DIAGEO NORTH AMERICA INC,8512,Baileys Irish Cream,19.99,14.72,18.99,750.0,72952,1073853.44,73122.0,1456174.78,57570.69
7245,PROXIMO SPIRITS INC.,3802,Three Olives Vodka,18.99,13.43,18.99,1750.0,77066,1034996.38,74722.0,1408627.78,137288.58
11567,CAMPARI AMERICA,3826,Skyy Vodka,19.99,15.74,19.99,1750.0,65382,1029112.6799999999,64388.0,1327401.1199999999,118298.37
8112,MOET HENNESSY USA INC,42188,Moet & Chandon Nectar Imp Rs,52.99,34.01,54.99,750.0,29829,1014484.29,29498.0,1533634.52,3314.23
17035,PERNOD RICARD USA,3423,Beefeater,26.99,21.25,26.99,1750.0,46163,980963.75,44762.0,1177834.38,82244.16
8004,SAZERAC CO INC,5138,Fireball Cinnamon Whisky,13.99,11.1,13.99,750.0,87954,976289.4,84289.0,1174428.36,66360.95
17035,PERNOD RICARD USA,5734,Malibu Rum,21.99,15.82,21.99,1750.0,61639,975128.98,60102.0,1293182.98,110429.45
480,BACARDI USA INC,4227,Bacardi Superior Rum Trav,17.99,14.17,17.99,1750.0,68294,967725.98,75147.0,1323223.53,138074.09
4425,MARTIGNETTI COMPANIES,3505,Tito's Handmade Vodka,18.99,13.76,18.99,750.0,69299,953554.24,70603.0,1355204.97,55584.909999999996
1128,BROWN-FORMAN CORP,1232,Jack Daniels No 7 Black,22.99,15.93,26.99,750.0,52932,843206.76,53206.0,1255188.94,41888.06
12546,JIM BEAM BRANDS COMPANY,1385,Makers Mark,26.99,20.45,26.99,750.0,41048,839431.6,37615.0,1034144.85,29615.6
8004,SAZERAC CO INC,5103,Fireball Cinnamon Whisky,23.99,17.14,23.99,1750.0,44198,757553.72,43533.0,1093841.67,79984.58
17035,PERNOD RICARD USA,8000,The Glenlivet 12 Yr Single,67.99,53.96,67.99,1750.0,13759,742435.64,13210.0,910688.8999999999,24275.31
3960,DIAGEO NORTH AMERICA INC,2432,Crown Royal,22.99,17.59,21.99,750.0,41893,736897.87,41506.0,967005.94,32678.12
17035,PERNOD RICARD USA,5365,Kahlua,18.99,14.84,18.99,750.0,48583,720971.72,48615.0,932815.85,38272.73
3960,DIAGEO NORTH AMERICA INC,3876,Smirnoff 80 Proof,19.99,13.95,17.99,1750.0,50962,710919.9,64266.0,1210481.34,118078.45
1392,CONSTELLATION BRANDS INC,3913,Svedka Vodka,17.99,14.28,17.99,1750.0,48481,692308.68,47805.0,875307.95,87832.83
8004,SAZERAC CO INC,3522,Platinum 7X Distilled Vodka,12.99,9.62,12.99,1750.0,71899,691668.38,70351.0,914148.49,129253.37
1392,CONSTELLATION BRANDS INC,2114,Black Velvet Canadian Whisky,12.99,9.41,12.99,1750.0,73227,689066.07,72043.0,948838.57,132364.71
4425,MARTIGNETTI COMPANIES,11219,Josh Cellars Cab Svgn Sonoma,12.99,8.44,13.99,750.0,80030,675453.2,78392.0,1095045.04,8799.82
9552,M S WALKER INC,3893,Zhenka 80 Proof,9.99,7.93,9.99,1750.0,81447,645874.71,81723.0,816412.77,150149.63
1128,BROWN-FORMAN CORP,811,Jack Daniels No 7 Black,29.99,19.84,27.99,1000.0,32554,645871.36,32064.0,937915.36,33667.2
3960,DIAGEO NORTH AMERICA INC,2443,Seagrams VO,16.99,13.48,20.99,1750.0,47654,642375.92,47446.0,902489.5399999999,87173.56999999999
660,SAZERAC NORTH AMERICA INC.,2127,Canadian Ltd,10.49,7.19,10.49,1750.0,86887,624717.53,86195.0,899110.55,158367.21
1392,CONSTELLATION BRANDS INC,6682,R M Woodbridge Chard Cal,8.99,6.03,13.99,1500.0,101547,612328.41,101339.0,1016328.61,22776.05
3960,DIAGEO NORTH AMERICA INC,3798,Ciroc Apple Vodka,28.99,19.83,28.99,750.0,30830,611358.9,29647.0,748067.53,23348.15
3960,DIAGEO NORTH AMERICA INC,4262,Capt Morgan Spiced Rum,13.99,11.19,16.99,750.0,54552,610436.88,55710.0,862422.9,43861.64
1128,BROWN-FORMAN CORP,2015,Jack Daniels Tennessee Honey,22.99,18.1,22.99,750.0,33715,610241.5,32969.0,771010.3099999999,25959.91
12546,JIM BEAM BRANDS COMPANY,1737,Makers Mark,51.99,34.3,46.99,1750.0,17537,601519.1,16089.0,823521.11,29564.92
4425,MARTIGNETTI COMPANIES,38370,Oyster Bay Svgn Bl Marlboro,9.95,6.59,10.99,750.0,91140,600612.6,90267.0,890334.41,10138.880000000001
6785,PALM BAY INTERNATIONAL INC,6937,Cavit Pinot Grigio,9.99,6.75,9.99,1500.0,88752,599076.0,87974.0,945345.02,19771.27
